idno,fold,logits_threshold,wake_acc,sleep_acc,experiment_hash
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S006,3,3.3632343,0.537109375,0.95,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S006,3,3.3632343,0.537109375,0.95,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S007,4,0.09079103,0.3411212488792785,0.9500850340136054,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S006,3,3.3632343,0.537109375,0.95,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S007,4,0.09079103,0.3411212488792785,0.9500850340136054,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S009,5,3.044488,0.40680609712867777,0.94996996996997,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S006,3,3.3632343,0.537109375,0.95,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S007,4,0.09079103,0.3411212488792785,0.9500850340136054,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S009,5,3.044488,0.40680609712867777,0.94996996996997,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S010,6,13.907806,0.5315479222763991,0.9499974038112051,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S003,0,15.919289,0.6798869524258125,0.9499300699300699,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S004,1,11.445433,0.4472697269726973,0.9499433106575964,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S005,2,4.0564375,0.7335625628983563,0.9500520833333334,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S006,3,3.3632343,0.537109375,0.95,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
S007,4,0.09079103,0.3411212488792785,0.9500850340136054,3d9f19801a709a38fdf6627e4bfc4b1ac4383c6a
